7b10bd70-a97a-4aec-9ace-891a69b004f0,"Pertanian, Perburuan, dan Kehutanan",2019-08-13 11:22:09,2022-05-09 11:58:34,
6478b7d9-5804-4bd7-959f-616b45975966,Ternak Sapi b3,2021-11-24 05:43:03,2021-11-24 05:43:12,2021-11-24 05:43:12
2d214cde-d0ba-4af0-9862-9f30aef0bf87,Perdagangan Besar dan Eceran,2021-12-08 04:13:15,2022-05-09 11:58:02,
f8c1220e-1084-4129-b127-94397a459e6f,Kelautan dan Perikanan,2021-12-08 04:13:19,2022-05-09 11:58:16,
407e099e-15ba-4db9-97ff-9e5b9339f084,Pertambangan,2021-12-08 04:13:24,2021-12-08 04:13:24,
ef638bc4-576d-4501-82ca-a5855cc0152c,Industri Pengolahan,2021-12-08 04:13:29,2022-01-06 10:19:23,
c356da5f-25d3-4f3e-8ca7-b341d9110713,Konstruksi,2021-12-08 04:13:35,2021-12-08 04:13:35,
dfb3a058-3f83-4d66-98ef-31aa2ee862b5,Jasa Kesehatan dan Kegiatan Sosial,2021-12-08 04:13:39,2022-05-09 11:57:50,
132f8a29-d9f9-4fc2-a32f-a0e29b46fae0,Jasa Pendidikan,2021-12-08 04:13:43,2021-12-08 04:13:43,
5caf0286-8380-4150-aada-479e00106f1f,Lainnya,2021-12-08 04:13:47,2021-12-14 07:31:42,2021-12-14 07:31:42
38e8b1d4-b928-4d1c-b726-bdd2accd3795,asdasdasd,2021-12-14 07:34:30,2021-12-14 07:34:33,2021-12-14 07:34:33
1f2cef97-f756-46b2-8648-8ff8461e5bc8,Lainnya,2021-12-15 02:36:53,2021-12-27 04:01:43,2021-12-27 04:01:43
8dd03677-2737-4f78-9712-b1288e5b9ce8,IT,2022-01-06 10:19:01,2022-01-06 10:19:06,2022-01-06 10:19:06
88254229-892a-43bc-a015-464e84ecd796,IT,2022-01-06 10:25:43,2022-01-06 10:25:43,
25632a05-cd2e-4661-9b69-e9fcadc0d3c4,Akomodasi dan Makan Minum,2022-05-09 11:55:44,2022-05-09 11:55:44,
61ab9f69-a207-4058-80ff-6637d58074e8,"Transportasi, Pergudangan, dan Komunikasi",2022-05-09 11:56:27,2022-05-09 11:56:27,
fd3b31ad-ec8c-4efc-9383-78c679f74b31,"Real Estate, Usaha Persewaan, dan Jasa Perusahaan",2022-05-09 11:57:17,2022-05-09 11:57:17,
914616a8-f6a0-4937-b7f1-97871e572f49,COBA,2023-02-08 20:15:02,2023-02-08 20:15:06,2023-02-08 20:15:06
